,,,,,,
,County,Population,People vaccinated with at least one doce,% of people vaccinated with at least one doce,People fully vaccinated,% of people fully vaccinated
,Hansford,"5,547","2,528",45.57%,"2,248",40.53%
,Hardeman,"3,952","1,975",49.97%,"1,801",45.57%
,Hardin,"56,379","25,175",44.65%,"22,263",39.49%
,Harris,"4,602,523","3,551,580",77.17%,"3,044,041",66.14%
,Harrison,"66,645","30,451",45.69%,"26,979",40.48%
,Hartley,"5,767","3,310",57.40%,"2,686",46.58%
,Haskell,"5,809","2,554",43.97%,"2,188",37.67%
,Hays,"204,150","175,979",86.20%,"150,316",73.63%
,Hemphill,"4,061","1,859",45.78%,"1,647",40.56%
,Henderson,"80,460","38,754",48.17%,"33,991",42.25%
,Hidalgo,"849,389","1,116,878",131.49%,"732,628",86.25%
,Hill,"35,399","17,671",49.92%,"15,313",43.26%
,Hockley,"23,162","11,608",50.12%,"10,137",43.77%
,Hood,"56,901","33,943",59.65%,"30,501",53.60%
,Hopkins,"36,240","17,173",47.39%,"15,164",41.84%
,Houston,"22,955","11,173",48.67%,"9,876",43.02%
,Howard,"36,667","14,720",40.15%,"12,795",34.90%
,Hudspeth,"4,098","4,301",104.95%,"3,643",88.90%
,Hunt,"92,152","48,942",53.11%,"43,121",46.79%
,Hutchinson,"21,571","8,537",39.58%,"7,429",34.44%
,Irion,"1,524",758,49.74%,673,44.16%
,Jack,"8,842","4,103",46.40%,"3,624",40.99%
,Jackson,"14,820","7,533",50.83%,"6,751",45.55%
,Jasper,"35,504","15,229",42.89%,"13,502",38.03%
,Jeff Davis,"2,234","1,324",59.27%,"1,195",53.49%
,Jefferson,"255,210","145,776",57.12%,"127,337",49.89%
,Jim Hogg,"5,282","3,960",74.97%,"3,146",59.56%
,Jim Wells,"41,192","27,732",67.32%,"23,320",56.61%
,Johnson,"163,475","94,202",57.62%,"82,705",50.59%
,Jones,"19,891","10,513",52.85%,"8,802",44.25%
,Karnes,"15,387","9,903",64.36%,"8,820",57.32%
,Kaufman,"118,910","84,727",71.25%,"73,775",62.04%
,Kendall,"41,982","34,720",82.70%,"30,344",72.28%
,Kenedy,595,248,41.68%,216,36.30%
,Kent,749,322,42.99%,289,38.58%
,Kerr,"51,365","30,022",58.45%,"26,095",50.80%
,Kimble,"4,408","2,100",47.64%,"1,860",42.20%
,King,228,58,25.44%,48,21.05%
,Kinney,"3,675","2,201",59.89%,"1,879",51.13%
,Kleberg,"31,425","22,772",72.46%,"19,346",61.56%
,Knox,"3,733","1,607",43.05%,"1,441",38.60%
,Lamar,"49,532","22,192",44.80%,"19,678",39.73%
,Lamb,"13,262","6,443",48.58%,"5,599",42.22%
,Lampasas,"20,640","11,626",56.33%,"10,175",49.30%
,La Salle,"7,409","5,620",75.85%,"4,833",65.23%
,Lavaca,"19,941","10,022",50.26%,"9,197",46.12%
,Lee,"16,952","9,428",55.62%,"8,230",48.55%
,Leon,"17,098","7,954",46.52%,"6,998",40.93%
,Liberty,"81,862","47,826",58.42%,"40,850",49.90%
,Limestone,"23,515","10,706",45.53%,"9,397",39.96%
,Lipscomb,"3,469","1,073",30.93%,957,27.59%
,Live Oak,"12,123","4,668",38.51%,"4,163",34.34%
,Llano,"20,640","12,828",62.15%,"11,610",56.25%
,Loving,102,43,42.16%,32,31.37%
,Lubbock,"301,454","172,916",57.36%,"152,050",50.44%
,Lynn,"5,808","2,710",46.66%,"2,379",40.96%
,McCulloch,"8,098","3,495",43.16%,"3,152",38.92%
,McLennan,"248,429","153,737",61.88%,"134,900",54.30%
,McMullen,662,363,54.83%,331,50.00%
,Madison,"14,128","7,302",51.68%,"6,377",45.14%
,Marion,"10,083","4,575",45.37%,"4,120",40.86%
,Martin,"5,614","2,152",38.33%,"1,779",31.69%
,Mason,"4,161","2,343",56.31%,"2,168",52.10%
,Matagorda,"36,743","20,493",55.77%,"17,640",48.01%
,Maverick,"57,970","101,823",175.65%,"57,557",99.29%
,Medina,"49,334","32,588",66.06%,"28,588",57.95%
,Menard,"2,123","1,233",58.08%,"1,132",53.32%
,Midland,"164,194","89,247",54.35%,"76,735",46.73%
,Milam,"24,664","12,859",52.14%,"11,602",47.04%
,Mills,"4,902","2,374",48.43%,"2,147",43.80%
,Mitchell,"8,558","3,495",40.84%,"3,162",36.95%
,Montague,"19,409","8,333",42.93%,"7,200",37.10%
,Montgomery,"554,445","410,812",74.09%,"354,116",63.87%
,Moore,"21,801","12,572",57.67%,"9,756",44.75%
,Morris,"12,424","6,452",51.93%,"5,631",45.32%
,Motley,"1,156",470,40.66%,341,29.50%
,Nacogdoches,"65,558","34,635",52.83%,"29,974",45.72%
,Navarro,"48,583","27,195",55.98%,"23,881",49.16%
,Newton,"14,057","3,786",26.93%,"3,384",24.07%
,Nolan,"14,966","7,133",47.66%,"6,485",43.33%
,Nueces,"360,486","246,010",68.24%,"212,457",58.94%
,Ochiltree,"10,348","4,324",41.79%,"3,802",36.74%
,Oldham,"2,090",885,42.34%,764,36.56%
,Orange,"84,047","35,312",42.01%,"30,660",36.48%
,Palo Pinto,"28,317","12,624",44.58%,"11,252",39.74%
,Panola,"23,440","9,710",41.42%,"8,577",36.59%
,Parker,"129,802","74,803",57.63%,"66,693",51.38%
,Parmer,"9,852","4,452",45.19%,"3,915",39.74%
,Pecos,"15,797","10,938",69.24%,"9,581",60.65%
,Polk,"47,837","26,194",54.76%,"22,810",47.68%
,Potter,"120,899","63,636",52.64%,"54,035",44.69%
,Presidio,"7,123","8,217",115.36%,"6,539",91.80%
,Rains,"11,473","5,319",46.36%,"4,775",41.62%
,Randall,"132,475","72,632",54.83%,"63,900",48.24%
,Reagan,"3,752","1,799",47.95%,"1,571",41.87%
,Real,"3,389","1,933",57.04%,"1,702",50.22%
,Red River,"12,275","5,530",45.05%,"4,873",39.70%
,Reeves,"15,125","31,688",209.51%,"14,233",94.10%
,Refugio,"7,236","4,248",58.71%,"3,816",52.74%
,Roberts,885,297,33.56%,265,29.94%
,Robertson,"16,890","9,008",53.33%,"7,943",47.03%
,Rockwall,"93,642","72,762",77.70%,"63,543",67.86%
,Runnels,"10,310","5,068",49.16%,"4,612",44.73%
,Rusk,"53,595","25,428",47.44%,"22,433",41.86%
,Sabine,"10,458","4,408",42.15%,"3,896",37.25%
,San Augustine,"8,327","4,127",49.56%,"3,610",43.35%
,San Jacinto,"27,819","11,335",40.75%,"9,973",35.85%
,San Patricio,"67,046","44,654",66.60%,"38,237",57.03%
,San Saba,"5,962","2,871",48.15%,"2,460",41.26%
,Schleicher,"3,061","1,419",46.36%,"1,301",42.50%
,Scurry,"17,239","9,122",52.91%,"8,006",46.44%
,Shackelford,"3,311","1,351",40.80%,"1,207",36.45%
,Shelby,"25,478","11,410",44.78%,"9,732",38.20%
,Sherman,"3,058","1,326",43.36%,"1,029",33.65%
,Smith,"225,015","124,915",55.51%,"110,859",49.27%
,Somervell,"8,743","4,562",52.18%,"4,136",47.31%
,Starr,"63,894","96,637",151.25%,"73,239",114.63%
,Stephens,"9,372","3,859",41.18%,"3,440",36.71%
,Sterling,"1,141",574,50.31%,503,44.08%
,Stonewall,"1,385",659,47.58%,601,43.39%
,Sutton,"3,865","1,877",48.56%,"1,663",43.03%
,Swisher,"7,484","3,351",44.78%,"2,989",39.94%
,Tarrant,"2,019,977","1,386,333",68.63%,"1,221,060",60.45%
,Taylor,"136,348","74,359",54.54%,"64,830",47.55%
,Terrell,862,495,57.42%,410,47.56%
,Terry,"12,615","5,912",46.86%,"5,175",41.02%
,Throckmorton,"1,567",690,44.03%,607,38.74%
,Titus,"32,730","16,620",50.78%,"14,082",43.02%
,Tom Green,"117,466","63,331",53.91%,"56,880",48.42%
,Travis,"1,203,166","1,066,163",88.61%,"917,117",76.23%
,Trinity,"14,569","7,188",49.34%,"6,301",43.25%
,Tyler,"21,496","9,100",42.33%,"8,233",38.30%
,Upshur,"40,769","16,760",41.11%,"14,785",36.27%
,Upton,"3,634","1,762",48.49%,"1,539",42.35%
,Uvalde,"27,009","17,267",63.93%,"14,688",54.38%
,Val Verde,"49,027","48,776",99.49%,"36,395",74.23%
,Van Zandt,"54,368","24,322",44.74%,"21,732",39.97%
,Victoria,"91,970","51,563",56.07%,"45,978",49.99%
,Walker,"71,539","41,417",57.89%,"36,422",50.91%
,Waller,"49,987","28,260",56.53%,"24,447",48.91%
,Ward,"11,586","5,238",45.21%,"4,369",37.71%
,Washington,"34,796","20,808",59.80%,"18,756",53.90%
,Webb,"272,053","517,831",190.34%,"310,958",114.30%
,Wharton,"41,551","25,895",62.32%,"22,279",53.62%
,Wheeler,"5,482","2,410",43.96%,"2,114",38.56%
,Wichita,"131,818","69,231",52.52%,"61,649",46.77%
,Wilbarger,"12,906","7,370",57.11%,"6,705",51.95%
,Willacy,"21,754","18,905",86.90%,"15,068",69.27%
,Williamson,"527,057","476,030",90.32%,"418,728",79.45%
,Wilson,"48,198","30,614",63.52%,"27,130",56.29%
,Winkler,"7,802","3,583",45.92%,"3,085",39.54%
,Wise,"64,639","31,552",48.81%,"27,928",43.21%
,Wood,"43,815","22,669",51.74%,"20,488",46.76%
,Yoakum,"8,571","4,164",48.58%,"3,526",41.14%
,Young,"18,114","8,368",46.20%,"7,516",41.49%
,Zapata,"14,369","10,122",70.44%,"8,613",59.94%
,Zavala,"12,131","7,207",59.41%,"6,181",50.95%
,,,,,,
,,,,,,
