County,Population,People vaccinated with at least one doce,% of people vaccinated with at least one doce,People fully vaccinated,% of people fully vaccinated
Scurry,17239,9122,0.5291,8006,0.4644
Shackelford,3311,1351,0.408,1207,0.3645
Shelby,25478,11410,0.4478,9732,0.382
Sherman,3058,1326,0.4336,1029,0.3365
Smith,225015,124915,0.5551,110859,0.4927
Somervell,8743,4562,0.5218,4136,0.4731
Starr,63894,96637,1.5125,73239,1.1463
Stephens,9372,3859,0.4118,3440,0.3671
Sterling,1141,574,0.5031,503,0.4408
Stonewall,1385,659,0.4758,601,0.4339
Sutton,3865,1877,0.4856,1663,0.4303
Swisher,7484,3351,0.4478,2989,0.3994
Tarrant,2019977,1386333,0.6863,1221060,0.6045
Taylor,136348,74359,0.5454,64830,0.4755
Terrell,862,495,0.5742,410,0.4756
Terry,12615,5912,0.4686,5175,0.4102
Throckmorton,1567,690,0.4403,607,0.3874
Titus,32730,16620,0.5078,14082,0.4302
Tom Green,117466,63331,0.5391,56880,0.4842
Travis,1203166,1066163,0.8861,917117,0.7623
Trinity,14569,7188,0.4934,6301,0.4325
Tyler,21496,9100,0.4233,8233,0.383
Upshur,40769,16760,0.4111,14785,0.3627
Upton,3634,1762,0.4849,1539,0.4235
Uvalde,27009,17267,0.6393,14688,0.5438
Val Verde,49027,48776,0.9949,36395,0.7423
Van Zandt,54368,24322,0.4474,21732,0.3997
Victoria,91970,51563,0.5607,45978,0.4999
Walker,71539,41417,0.5789,36422,0.5091
Waller,49987,28260,0.5653,24447,0.4891
Ward,11586,5238,0.4521,4369,0.3771
Washington,34796,20808,0.598,18756,0.539
Webb,272053,517831,1.9034,310958,1.143
Wharton,41551,25895,0.6232,22279,0.5362
Wheeler,5482,2410,0.4396,2114,0.3856
Wichita,131818,69231,0.5252,61649,0.4677
Wilbarger,12906,7370,0.5711,6705,0.5195
Willacy,21754,18905,0.869,15068,0.6927
Williamson,527057,476030,0.9032,418728,0.7945
Wilson,48198,30614,0.6352,27130,0.5629
Winkler,7802,3583,0.4592,3085,0.3954
Wise,64639,31552,0.4881,27928,0.4321
Wood,43815,22669,0.5174,20488,0.4676
Yoakum,8571,4164,0.4858,3526,0.4114
Young,18114,8368,0.462,7516,0.4149
Zapata,14369,10122,0.7044,8613,0.5994
Zavala,12131,7207,0.5941,6181,0.5095
